dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,uvi,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain,lat,lon,city,weather.id,weather.main,weather.description,weather.icon,date,icon_score,daily_score,city_score,city_score_normalized
1772708400,1772690604,1772731079,1772740620,1772692440,0.57,"You can expect clear sky in the morning, with partly cloudy in the afternoon",1021,54,3.24,1.49,18,1.92,0,0.0,2.16,13.33,2.04,15.25,9.56,12.97,2.29,12.13,9.56,11.81,2.29,,48.5846,7.7507,Strasbourg,800,Clear,clear sky,01d,2026-03-05 11:00:00,5,6,2.4285714285714284,1.0
1772794800,1772776883,1772817572,1772831280,1772779680,0.6,Expect a day of partly cloudy with clear spells,1022,61,5.06,3.72,11,6.79,91,0.0,1.75,12.29,6.91,14.79,8.53,11.98,7.12,11.17,7.65,10.93,7.12,,48.5846,7.7507,Strasbourg,804,Clouds,overcast clouds,04d,2026-03-06 11:00:00,2,2,2.4285714285714284,1.0
1772881200,1772863162,1772904064,1772922060,1772867040,0.63,There will be partly cloudy today,1024,59,5.01,2.66,9,4.74,70,0.0,1.77,12.8,6.07,15.31,9.49,12.86,6.33,11.68,9.49,11.9,6.33,,48.5846,7.7507,Strasbourg,803,Clouds,broken clouds,04d,2026-03-07 11:00:00,2,2,2.4285714285714284,1.0
1772967600,1772949440,1772990556,0,1772954580,0.66,Expect a day of partly cloudy with clear spells,1025,63,7.49,2.23,194,2.51,20,0.0,2.05,14.36,7.0,14.86,10.71,12.07,7.0,13.5,9.98,11.29,7.0,,48.5846,7.7507,Strasbourg,801,Clouds,few clouds,02d,2026-03-08 11:00:00,4,5,2.4285714285714284,1.0
1773054000,1773035717,1773077047,1773012720,1773042420,0.69,"You can expect partly cloudy in the morning, with rain in the afternoon",1024,66,8.53,2.01,196,2.6,99,0.24,2.14,14.85,7.84,15.71,11.73,12.82,7.84,14.11,11.05,12.06,7.03,0.15,48.5846,7.7507,Strasbourg,500,Rain,light rain,10d,2026-03-09 11:00:00,1,0,2.4285714285714284,1.0
1773140400,1773121994,1773163539,1773103260,1773130680,0.72,There will be partly cloudy today,1025,59,8.22,2.22,201,4.02,82,0.16,3.0,16.14,9.47,16.87,12.13,13.8,9.47,15.35,11.33,12.93,8.4,,48.5846,7.7507,Strasbourg,803,Clouds,broken clouds,04d,2026-03-10 11:00:00,2,2,2.4285714285714284,1.0
1773226800,1773208271,1773250030,1773193440,1773219540,0.75,Expect a day of partly cloudy with rain,1024,59,7.81,5.07,239,9.52,100,0.56,3.0,15.61,9.76,15.61,11.14,11.54,9.76,14.77,10.4,10.81,8.07,1.44,48.5846,7.7507,Strasbourg,500,Rain,light rain,10d,2026-03-11 11:00:00,1,0,2.4285714285714284,1.0
1772712000,1772692485,1772732867,1772742600,1772694240,0.57,"You can expect clear sky in the morning, with partly cloudy in the afternoon",1015,69,7.86,5.19,128,9.69,20,0.0,1.62,13.56,9.11,14.47,11.09,13.19,9.14,12.77,10.53,12.6,6.45,,49.4939,0.108,Le Havre,801,Clouds,few clouds,02d,2026-03-05 12:00:00,4,5,1.8571428571428572,0.875
1772798400,1772778760,1772819363,1772833380,1772781420,0.6,Expect a day of partly cloudy with rain,1022,95,10.18,3.48,158,4.23,100,0.51,1.43,11.1,10.49,12.15,10.62,11.57,10.59,10.75,10.14,11.18,10.08,0.34,49.4939,0.108,Le Havre,500,Rain,light rain,10d,2026-03-06 12:00:00,1,0,1.8571428571428572,0.875
1772884800,1772865035,1772905858,1772924160,1772868720,0.63,There will be partly cloudy today,1024,78,9.53,4.78,52,6.73,100,0.0,1.66,13.43,10.1,14.26,11.51,12.6,10.1,12.87,10.86,12.08,9.59,,49.4939,0.108,Le Havre,804,Clouds,overcast clouds,04d,2026-03-07 12:00:00,2,2,1.8571428571428572,0.875
1772971200,1772951310,1772992354,0,1772956200,0.66,There will be partly cloudy today,1021,78,8.67,5.22,172,7.24,28,0.0,2.09,12.59,9.21,14.05,10.88,12.39,9.21,11.94,10.16,11.67,7.2,,49.4939,0.108,Le Havre,802,Clouds,scattered clouds,03d,2026-03-08 12:00:00,3,4,1.8571428571428572,0.875
1773057600,1773037584,1773078849,1773014880,1773043980,0.69,Expect a day of partly cloudy with rain,1021,70,6.89,4.69,171,6.8,38,0.31,2.43,12.31,9.28,13.29,10.42,11.44,9.3,11.42,9.66,10.73,6.84,0.61,49.4939,0.108,Le Havre,500,Rain,light rain,10d,2026-03-09 12:00:00,1,0,1.8571428571428572,0.875
1773144000,1773123857,1773165344,1773105480,1773132240,0.72,"You can expect partly cloudy in the morning, with clearing in the afternoon",1022,76,7.16,2.91,159,3.12,33,0.22,3.0,11.55,9.22,11.78,10.72,10.84,9.22,10.75,10.01,10.09,8.09,,49.4939,0.108,Le Havre,802,Clouds,scattered clouds,03d,2026-03-10 12:00:00,3,3,1.8571428571428572,0.875
1773230400,1773210130,1773251838,1773195720,1773221040,0.75,Expect a day of partly cloudy with rain,1022,85,7.22,7.73,284,12.93,100,0.73,3.0,9.75,8.61,9.93,8.61,8.81,9.3,6.42,5.62,5.28,6.19,1.02,49.4939,0.108,Le Havre,500,Rain,light rain,10d,2026-03-11 12:00:00,1,-1,1.8571428571428572,0.875
1772708400,1772691840,1772732093,1772741940,1772693460,0.57,Expect a day of partly cloudy with clear spells,1018,55,5.09,4.01,159,9.08,0,0.0,1.82,12.98,2.42,17.17,11.92,14.9,2.55,11.77,11.2,14.14,-0.25,,50.6366,3.0635,Lille,800,Clear,clear sky,01d,2026-03-05 11:00:00,5,6,1.8571428571428572,0.875
1772794800,1772778111,1772818593,1772832780,1772780580,0.6,There will be partly cloudy today,1022,66,8.52,2.8,161,6.84,99,0.0,1.38,14.82,9.81,17.12,11.67,15.77,9.85,14.08,11.09,15.1,8.87,,50.6366,3.0635,Lille,804,Clouds,overcast clouds,04d,2026-03-06 11:00:00,2,2,1.8571428571428572,0.875
1772881200,1772864382,1772905094,1772923680,1772867820,0.63,There will be partly cloudy today,1025,60,7.08,3.82,63,5.98,90,0.0,1.6,14.68,9.0,16.98,11.31,14.92,9.21,13.77,10.4,13.98,7.95,,50.6366,3.0635,Lille,804,Clouds,overcast clouds,04d,2026-03-07 11:00:00,2,2,1.8571428571428572,0.875
1772967600,1772950652,1772991594,0,1772955180,0.66,"You can expect partly cloudy in the morning, with clearing in the afternoon",1022,59,7.64,3.64,207,5.11,38,0.0,1.92,15.6,8.0,17.41,12.3,14.13,8.0,14.76,11.57,13.35,6.66,,50.6366,3.0635,Lille,802,Clouds,scattered clouds,03d,2026-03-08 11:00:00,3,3,1.8571428571428572,0.875
1773054000,1773036921,1773078093,1773014520,1773042900,0.69,Expect a day of partly cloudy with rain,1022,60,7.71,4.75,180,8.52,80,0.56,2.03,15.48,9.2,15.84,12.75,13.44,9.2,14.65,11.88,12.56,7.3,0.52,50.6366,3.0635,Lille,500,Rain,light rain,10d,2026-03-09 11:00:00,1,0,1.8571428571428572,0.875
1773140400,1773123190,1773164593,1773105180,1773131040,0.72,Expect a day of partly cloudy with rain,1022,59,7.23,4.4,200,6.32,82,0.2,3.0,15.09,8.68,16.53,11.9,13.61,8.68,14.2,11.08,12.7,7.45,0.15,50.6366,3.0635,Lille,500,Rain,light rain,10d,2026-03-10 11:00:00,1,0,1.8571428571428572,0.875
1773226800,1773209458,1773251092,1773195480,1773219840,0.75,Expect a day of partly cloudy with rain,1018,63,6.89,6.97,242,11.45,100,0.45,3.0,13.82,7.09,13.82,7.09,8.6,10.03,12.9,3.97,5.44,9.33,0.75,50.6366,3.0635,Lille,500,Rain,light rain,10d,2026-03-11 11:00:00,1,0,1.8571428571428572,0.875
1772712000,1772691913,1772732363,1772742000,1772693700,0.57,"You can expect clear sky in the morning, with partly cloudy in the afternoon",1017,46,5.27,3.5,155,7.84,9,0.0,1.76,17.14,5.97,18.62,14.04,16.32,5.97,16.11,13.17,15.42,5.0,,48.8535,2.3484,Paris,800,Clear,clear sky,01d,2026-03-05 12:00:00,5,6,1.8571428571428572,0.875
1772798400,1772778191,1772818857,1772832720,1772780940,0.6,There will be partly cloudy today,1021,54,7.48,1.64,38,3.23,99,0.0,1.68,17.17,12.02,18.46,14.23,16.9,12.14,16.35,13.61,16.0,11.37,,48.8535,2.3484,Paris,804,Clouds,overcast clouds,04d,2026-03-06 12:00:00,2,2,1.8571428571428572,0.875
1772884800,1772864469,1772905350,1772923440,1772868300,0.63,There will be partly cloudy today,1023,40,3.46,3.61,66,7.05,90,0.0,1.96,17.38,11.89,18.52,14.27,16.25,11.93,16.22,13.32,15.18,11.22,,48.8535,2.3484,Paris,804,Clouds,overcast clouds,04d,2026-03-07 12:00:00,2,2,1.8571428571428572,0.875
1772971200,1772950746,1772991843,0,1772955840,0.66,Expect a day of partly cloudy with rain,1022,49,6.47,3.26,202,7.64,10,0.21,2.31,17.34,10.83,18.61,14.54,16.87,10.83,16.41,13.75,15.79,10.03,0.12,48.8535,2.3484,Paris,500,Rain,light rain,10d,2026-03-08 12:00:00,1,1,1.8571428571428572,0.875
